xe	re	ue	pe	Ee
0.956	0.761136975	3.603810038	1.065429906	9.99319176
0.958	0.761136975	3.603810038	1.065429906	9.99319176
0.96	0.761136975	3.603810038	1.065429906	9.99319176
0.962	0.761136975	3.603810038	1.065429906	9.99319176
0.964	0.761136975	3.603810038	1.065429906	9.99319176
0.966	0.761136975	3.603810038	1.065429906	9.99319176
0.968	0.761136975	3.603810038	1.065429906	9.99319176
0.97	0.761136975	3.603810038	1.065429906	9.99319176
0.972	0.761136975	3.603810038	1.065429906	9.99319176
0.974	0.761136975	3.603810038	1.065429906	9.99319176
0.976	0.761136975	3.603810038	1.065429906	9.99319176
0.978	0.761136975	3.603810038	1.065429906	9.99319176
0.98	0.761136975	3.603810038	1.065429906	9.99319176
0.982	0.761136975	3.603810038	1.065429906	9.99319176
0.984	0.761136975	3.603810038	1.065429906	9.99319176
0.986	0.761136975	3.603810038	1.065429906	9.99319176
0.988	0.761136975	3.603810038	1.065429906	9.99319176
0.99	0.761136975	3.603810038	1.065429906	9.99319176
0.992	0.761136975	3.603810038	1.065429906	9.99319176
0.994	0.761136975	3.603810038	1.065429906	9.99319176
0.996	0.761136975	3.603810038	1.065429906	9.99319176
0.998	0.761136975	3.603810038	1.065429906	9.99319176
1	0.761136975	3.603810038	1.065429906	9.99319176
