xe	re	ue	pe	Ee
0.648	0.579866687	1.360905519	0.466293567	2.936380057
0.65	0.579866687	1.360905519	0.466293567	2.936380057
0.652	0.579866687	1.360905519	0.466293567	2.936380057
0.654	0.579866687	1.360905519	0.466293567	2.936380057
0.656	0.579866687	1.360905519	0.466293567	2.936380057
0.658	0.579866687	1.360905519	0.466293567	2.936380057
0.66	0.579866687	1.360905519	0.466293567	2.936380057
0.662	0.579866687	1.360905519	0.466293567	2.936380057
0.664	0.579866687	1.360905519	0.466293567	2.936380057
0.666	0.579866687	1.360905519	0.466293567	2.936380057
0.668	0.579866687	1.360905519	0.466293567	2.936380057
0.67	0.579866687	1.360905519	0.466293567	2.936380057
0.672	0.579866687	1.360905519	0.466293567	2.936380057
0.674	0.579866687	1.360905519	0.466293567	2.936380057
0.676	0.579866687	1.360905519	0.466293567	2.936380057
0.678	0.579866687	1.360905519	0.466293567	2.936380057
0.68	0.579866687	1.360905519	0.466293567	2.936380057
0.682	0.579866687	1.360905519	0.466293567	2.936380057
0.684	0.579866687	1.360905519	0.466293567	2.936380057
0.686	0.579866687	1.360905519	0.466293567	2.936380057
0.688	0.579866687	1.360905519	0.466293567	2.936380057
0.69	0.579866687	1.360905519	0.466293567	2.936380057
0.692	0.579866687	1.360905519	0.466293567	2.936380057
0.694	0.579866687	1.360905519	0.466293567	2.936380057
0.696	0.579866687	1.360905519	0.466293567	2.936380057
0.698	0.579866687	1.360905519	0.466293567	2.936380057
0.7	0.579866687	1.360905519	0.466293567	2.936380057
0.702	0.579866687	1.360905519	0.466293567	2.936380057
0.704	0.579866687	1.360905519	0.466293567	2.936380057
0.706	0.339700235	1.360905519	0.466293567	4.357686644
0.708	0.339700235	1.360905519	0.466293567	4.357686644
0.71	0.339700235	1.360905519	0.466293567	4.357686644
0.712	0.339700235	1.360905519	0.466293567	4.357686644
0.714	0.339700235	1.360905519	0.466293567	4.357686644
0.716	0.339700235	1.360905519	0.466293567	4.357686644
0.718	0.339700235	1.360905519	0.466293567	4.357686644
0.72	0.339700235	1.360905519	0.466293567	4.357686644
0.722	0.339700235	1.360905519	0.466293567	4.357686644
0.724	0.339700235	1.360905519	0.466293567	4.357686644
0.726	0.339700235	1.360905519	0.466293567	4.357686644
0.728	0.339700235	1.360905519	0.466293567	4.357686644
0.73	0.339700235	1.360905519	0.466293567	4.357686644
0.732	0.339700235	1.360905519	0.466293567	4.357686644
0.734	0.339700235	1.360905519	0.466293567	4.357686644
0.736	0.339700235	1.360905519	0.466293567	4.357686644
0.738	0.339700235	1.360905519	0.466293567	4.357686644
